"time","data"
"2022-04-29 17:36:26.755 GMT+09:00","19.0"
"2022-04-29 17:36:26.812 GMT+09:00","18.0"
"2022-04-29 17:36:26.873 GMT+09:00","17.0"
"2022-04-29 17:36:26.933 GMT+09:00","15.0"
"2022-04-29 17:36:26.993 GMT+09:00","14.0"
"2022-04-29 17:36:27.054 GMT+09:00","16.0"
"2022-04-29 17:36:27.113 GMT+09:00","14.0"
"2022-04-29 17:36:27.175 GMT+09:00","11.0"
"2022-04-29 17:36:27.293 GMT+09:00","16.0"
"2022-04-29 17:36:27.353 GMT+09:00","21.0"
"2022-04-29 17:36:27.473 GMT+09:00","16.0"
"2022-04-29 17:36:27.533 GMT+09:00","17.0"
"2022-04-29 17:36:27.593 GMT+09:00","19.0"
"2022-04-29 17:36:27.712 GMT+09:00","22.0"
"2022-04-29 17:36:28.013 GMT+09:00","17.0"
"2022-04-29 17:36:28.074 GMT+09:00","13.0"
"2022-04-29 17:36:28.133 GMT+09:00","12.0"
"2022-04-29 17:36:28.195 GMT+09:00","11.0"
"2022-04-29 17:36:28.254 GMT+09:00","10.0"
"2022-04-29 17:36:28.375 GMT+09:00","11.0"
"2022-04-29 17:36:28.433 GMT+09:00","10.0"
"2022-04-29 17:36:28.495 GMT+09:00","9.0"
"2022-04-29 17:36:28.792 GMT+09:00","8.0"
"2022-04-29 17:36:28.971 GMT+09:00","7.0"
"2022-04-29 17:36:29.092 GMT+09:00","6.0"
"2022-04-29 17:36:29.573 GMT+09:00","7.0"
"2022-04-29 17:36:29.692 GMT+09:00","9.0"
"2022-04-29 17:36:29.755 GMT+09:00","7.0"
"2022-04-29 17:36:29.995 GMT+09:00","8.0"
"2022-04-29 17:36:30.052 GMT+09:00","9.0"
"2022-04-29 17:36:30.112 GMT+09:00","8.0"
"2022-04-29 17:36:30.171 GMT+09:00","7.0"
"2022-04-29 17:36:30.231 GMT+09:00","8.0"
"2022-04-29 17:36:30.291 GMT+09:00","9.0"
"2022-04-29 17:36:30.352 GMT+09:00","12.0"
"2022-04-29 17:36:30.473 GMT+09:00","9.0"
"2022-04-29 17:36:30.532 GMT+09:00","8.0"
"2022-04-29 17:36:30.592 GMT+09:00","12.0"
"2022-04-29 17:36:30.652 GMT+09:00","21.0"
"2022-04-29 17:36:30.712 GMT+09:00","17.0"
"2022-04-29 17:36:30.772 GMT+09:00","9.0"
"2022-04-29 17:36:30.953 GMT+09:00","11.0"
"2022-04-29 17:36:31.012 GMT+09:00","10.0"
"2022-04-29 17:36:31.072 GMT+09:00","7.0"
"2022-04-29 17:36:31.133 GMT+09:00","6.0"
"2022-04-29 17:36:31.311 GMT+09:00","7.0"
"2022-04-29 17:36:31.372 GMT+09:00","9.0"
"2022-04-29 17:36:31.432 GMT+09:00","11.0"
"2022-04-29 17:36:31.494 GMT+09:00","12.0"
"2022-04-29 17:36:31.552 GMT+09:00","8.0"
"2022-04-29 17:36:31.614 GMT+09:00","6.0"
"2022-04-29 17:36:31.673 GMT+09:00","5.0"
"2022-04-29 17:36:31.732 GMT+09:00","6.0"
"2022-04-29 17:36:31.792 GMT+09:00","7.0"
"2022-04-29 17:36:32.454 GMT+09:00","6.0"
"2022-04-29 17:36:32.574 GMT+09:00","7.0"
"2022-04-29 17:36:33.054 GMT+09:00","8.0"
"2022-04-29 17:36:33.231 GMT+09:00","7.0"
"2022-04-29 17:36:33.353 GMT+09:00","8.0"
"2022-04-29 17:36:33.471 GMT+09:00","7.0"
"2022-04-29 17:36:33.772 GMT+09:00","8.0"
"2022-04-29 17:36:34.192 GMT+09:00","9.0"
"2022-04-29 17:36:34.313 GMT+09:00","11.0"
"2022-04-29 17:36:34.372 GMT+09:00","12.0"
"2022-04-29 17:36:34.492 GMT+09:00","13.0"
"2022-04-29 17:36:34.551 GMT+09:00","15.0"
"2022-04-29 17:36:34.612 GMT+09:00","14.0"
"2022-04-29 17:36:34.672 GMT+09:00","13.0"
"2022-04-29 17:36:34.793 GMT+09:00","12.0"
"2022-04-29 17:36:34.853 GMT+09:00","10.0"
"2022-04-29 17:36:34.912 GMT+09:00","9.0"
"2022-04-29 17:36:34.972 GMT+09:00","10.0"
"2022-04-29 17:36:35.032 GMT+09:00","11.0"
"2022-04-29 17:36:35.093 GMT+09:00","12.0"
"2022-04-29 17:36:35.152 GMT+09:00","9.0"
"2022-04-29 17:36:35.212 GMT+09:00","7.0"
"2022-04-29 17:36:35.332 GMT+09:00","8.0"
"2022-04-29 17:36:35.392 GMT+09:00","9.0"
"2022-04-29 17:36:35.452 GMT+09:00","8.0"
